,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
4_49_16.qasm,165,320,0.0731761190000002,144,286,0.30776487900000005,144,286,0.250679458,165,308,0.005783300000000047
sys6-v0_111.qasm,183,238,0.0874561519999979,183,205,9.473823708,192,214,0.7392218599999989,198,232,0.008547284999998794
rd53_130.qasm,870,1553,0.5153343240000083,867,1460,12.691380157999994,876,1460,0.7541845319999965,948,1494,0.0389143660000002
alu-v2_31.qasm,342,650,0.15477467899999908,333,625,1.1035238289999967,336,622,0.2938144440000059,354,643,0.010589302999989059
4gt5_77.qasm,96,174,0.041493662999982917,90,175,0.19500842700000476,90,175,0.04329772200000548,99,181,0.004375839000005044
radd_250.qasm,3039,4810,2.172440956999992,3159,4791,68.01250602599998,3150,4784,5.201435484000001,3015,4653,0.09701352299998689
mod10_176.qasm,132,254,0.07091574200001105,126,241,0.14229596699999547,126,241,0.14129113399997095,120,234,0.0033025739999743564
C17_204.qasm,378,674,0.16709116199996288,381,639,2.8658067279999955,402,659,0.47001758099997915,384,643,0.01274992700001576
0410184_169.qasm,201,295,0.08977704400001585,234,300,2.442476161000002,234,299,0.40671307000002344,249,273,0.014162409999983083
con1_216.qasm,885,1434,0.42021636300000864,861,1319,7.139038367000012,972,1391,1.2095843540000146,939,1424,0.03692024899999069
rd53_311.qasm,267,380,0.1248832790000165,258,291,9.725307922000013,291,330,0.6286873040000387,264,374,0.01809898199996951
4gt13_91.qasm,78,144,0.03229199800000515,57,127,0.024432439000065642,57,127,0.031226830000036898,66,138,0.002859320999959891
one-two-three-v0_98.qasm,105,208,0.04668303999994805,99,191,0.039428459000077964,99,191,0.044915463000052114,108,194,0.003380327000058969
4gt13_90.qasm,78,159,0.0338306730000113,81,153,0.07836118400007308,81,153,0.03490012100007789,78,147,0.003156971000066733
ex3_229.qasm,315,566,0.13897602199995163,315,558,1.7562737309999648,327,569,0.23972975100002714,339,582,0.010677521999923556
adr4_197.qasm,3306,5056,1.7059884930000635,3348,4978,102.45763316499995,3654,5228,6.459226361999981,3897,5415,0.1414336950000461
one-two-three-v1_99.qasm,105,197,0.048592722999956095,90,174,0.0387583540000378,90,174,0.03628203699997812,99,173,0.0038745040000094377
mini-alu_167.qasm,219,412,0.10087791299997662,234,407,3.733363403999988,249,429,0.23950683900000058,219,397,0.00781489199994212
alu-v2_30.qasm,396,748,0.18058890700001484,372,677,2.7377970879999793,399,691,0.30996397999990677,462,688,0.018991215000028205
4gt5_76.qasm,72,149,0.03300796700000319,69,132,0.10009479699999702,69,132,0.04290086900005008,66,126,0.0026027400000430134
rd53_131.qasm,390,668,0.25092663200007337,399,658,1.3361964430000626,402,664,0.2834175130000176,387,632,0.010785542999997233
mini_alu_305.qasm,144,185,0.06574789000001147,150,163,2.940442490999999,150,183,0.8085616280000067,138,188,0.004309625999894706
4mod7-v0_94.qasm,111,224,0.04810085999997682,123,223,0.09871603299995968,123,223,0.10065030900000238,111,218,0.0036021509999955015
z4_268.qasm,2775,4466,1.595104640000045,2775,4299,61.88957689400013,2970,4390,5.726716151999881,3291,4776,0.11495095800000854
cm82a_208.qasm,531,873,0.23686647800013816,639,913,7.202646252000022,675,917,1.0484228440000152,555,895,0.013999858000033782
aj-e11_165.qasm,108,214,0.04790481899999577,90,192,0.046294266000131756,90,192,0.04623421699989194,105,201,0.0038737390000278538
alu-v0_26.qasm,66,114,0.02824027900010151,66,123,0.04507129399985388,66,123,0.030924287000061668,69,118,0.003260725000018283
sym6_316.qasm,246,366,0.2318366080000942,252,320,5.064529384000025,285,348,0.893006663000051,252,379,0.008645247999993444
decod24-bdd_294.qasm,48,90,0.02057663899995532,54,97,0.08902784899987637,54,97,0.08102446599991708,39,79,0.0030717040001491114
dc1_220.qasm,1701,2768,0.8927790060001826,1653,2665,17.47284833399999,1695,2670,2.1733030089999374,2064,3010,0.07534128599991163
decod24-enable_126.qasm,270,506,0.14214755100010734,255,458,0.4058783800001038,258,460,0.19762181999999484,303,474,0.011798634000115271
one-two-three-v2_100.qasm,42,95,0.018282445000068037,48,96,0.022943972000120993,48,96,0.02464691699992727,63,97,0.0030594490001476515
mod5adder_127.qasm,432,783,0.21069593500010342,438,757,2.3251101379999,438,769,0.3645032199999605,510,754,0.015350384999919697
one-two-three-v3_101.qasm,45,97,0.020502832000147464,51,96,0.07786916399982147,54,105,0.034652488000119774,48,88,0.002888494000217179
mod8-10_177.qasm,354,634,0.1515578749999804,363,646,0.5709358990000055,369,651,0.1991495859999759,390,614,0.013804637000021103
sf_276.qasm,615,1094,0.27341919200011944,636,1093,2.7374212899999293,648,1112,0.2674504369999795,609,1025,0.025962664999951812
cm42a_207.qasm,1536,2505,0.7904122830000233,1590,2493,24.62420178000002,1599,2488,1.6658555200001501,1797,2659,0.07066804000010052
4gt12-v1_89.qasm,174,327,0.08100250300003609,180,314,0.2517479650000496,180,314,0.07546655700002702,180,301,0.008459753999886743
pm1_249.qasm,1503,2529,0.6846151610000106,1596,2504,30.80115930299985,1605,2481,2.576516675999983,1797,2659,0.07089254500010611
mod10_171.qasm,174,345,0.08127436800009491,165,322,0.14896480700008397,165,322,0.08530254500010415,171,337,0.004454439000028287
decod24-v1_41.qasm,63,125,0.02713939700015544,60,113,0.027071293000062724,60,113,0.027575772999853143,63,121,0.002669202999868503
4gt12-v0_88.qasm,156,274,0.0721119729998918,156,273,0.5392476009999427,150,263,0.0751360729998396,156,238,0.008853685000076439
rd53_138.qasm,117,169,0.05175862600003711,108,152,1.8526635929999884,108,144,0.22024780499987173,114,142,0.006608337000216125
4gt4-v0_79.qasm,168,334,0.07850928700008808,180,319,1.2911452710000049,186,328,0.1475428210001155,183,323,0.012323819000130243
alu-v3_34.qasm,39,78,0.01700968900013322,36,68,0.020331694000105927,36,68,0.01602873200022259,33,63,0.0019764329999816255
decod24-v3_45.qasm,108,211,0.04995964099998673,102,199,0.1599966870001026,108,208,0.11687706800012165,108,206,0.003696747000049072
4gt4-v0_80.qasm,144,255,0.0618104709999443,138,239,0.15869672199983142,138,243,0.13536104400009208,141,237,0.004151817000092706
mod8-10_178.qasm,285,510,0.12695244199994704,273,466,1.3057407880000937,282,492,0.17643389999989267,303,477,0.011482539999860819
hwb4_49.qasm,174,335,0.08098969799993938,147,302,0.35798671199995624,147,302,0.6749379070001851,165,319,0.006937010999990889
4mod5-bdd_287.qasm,57,99,0.024903127000015957,54,89,0.02775923900003363,54,89,0.02825455599986526,39,80,0.0019774260001668154
decod24-v0_38.qasm,36,71,0.015121493999913582,27,62,0.01825357399980021,27,62,0.017536229000143067,27,59,0.002845373999889489
4gt4-v1_74.qasm,207,385,0.18600315899993802,222,383,0.6569696130000011,222,388,0.17454163299998982,234,378,0.006686958999807757
4gt12-v0_87.qasm,198,345,0.17609843000013825,198,341,3.076369667000108,210,354,0.14759760100014319,195,339,0.011533110000073066
4gt12-v0_86.qasm,201,356,0.09949155200001769,201,345,1.825490906999903,213,358,0.1801331389999632,204,352,0.010410363999881156
4mod5-v1_23.qasm,51,106,0.021108154999865292,54,100,0.034631690999958664,54,100,0.023458105000145224,54,98,0.0024530499999855238
sf_274.qasm,621,1095,0.5774552780001159,609,1049,3.95971983000004,630,1105,0.5143758309998248,672,1097,0.02390697100008765
4mod5-v0_18.qasm,54,107,0.023108639000156472,39,86,0.029962985000111075,39,86,0.02550195200001326,51,92,0.0033071409998228773
majority_239.qasm,480,906,0.21877335299996048,495,868,2.0973415410001053,501,878,0.3351211910000984,441,809,0.01135932900001535
hwb5_53.qasm,1143,2021,0.9575394229998437,1116,1914,10.820519643999887,1119,1945,1.345097435000298,1089,1875,0.051709200000004785
ham7_104.qasm,255,450,0.11000556599992706,243,439,0.2740509509999356,243,440,0.0999203800001851,237,430,0.009491238999999041
rd53_135.qasm,237,422,0.11634925099997417,258,406,1.8178166819998296,258,406,0.4881671670000287,258,414,0.010914061999756086
rd32_270.qasm,54,110,0.024172637999981816,54,109,0.022175779999997758,54,109,0.02365244399970834,69,104,0.0032178870001189352
cm152a_212.qasm,990,1736,0.6121363910001492,1008,1730,7.971967046000373,1089,1792,1.4492370789998859,1233,1873,0.05508796899994195
4gt10-v1_81.qasm,111,217,0.0500316290003866,105,200,0.060790721000103076,105,200,0.061226450000049226,111,194,0.0032427639998786617
qft_10.qasm,123,167,0.06860882399996626,153,172,7.805947946999822,168,179,0.3741984759999468,174,250,0.007669680999697448
rd53_251.qasm,1080,1920,0.5052950469998905,1098,1808,8.51464112900021,1173,1851,1.4107161519996225,1104,1811,0.031359748000340915
squar5_261.qasm,1794,2812,0.8023967639996954,1734,2632,36.05327374999979,1842,2766,2.8502476919998117,1794,2767,0.05529213899990282
4gt4-v0_78.qasm,174,344,0.08192678600016734,189,326,1.0412345409999944,195,335,0.17007469100008166,195,335,0.01002487799996743
4gt13-v1_93.qasm,42,90,0.01787855899965507,42,86,0.017421564999949624,42,86,0.015844665999793506,45,84,0.0028848670003753796
4gt4-v0_73.qasm,303,590,0.14269893999971828,333,572,2.123465489999944,348,595,0.2848971460002758,333,546,0.014108102000136569
one-two-three-v0_97.qasm,213,432,0.09789111600002798,216,397,1.2799150270002428,216,397,0.21528817899979913,234,390,0.007272173999808729
rd84_142.qasm,312,390,0.1710594129999663,339,318,22.243673202000082,405,359,1.8551006449997658,330,349,0.012080752000201755
4mod7-v1_96.qasm,123,227,0.054449121999823547,114,223,0.29377126500003214,114,223,0.11801230199989732,126,219,0.004417657999965741
f2_232.qasm,1017,1769,0.462391106999803,1005,1661,23.732025138000154,1005,1659,1.0139489159996629,1143,1727,0.04227447200037204
sym9_146.qasm,282,358,0.13083910299974377,315,385,14.207730017000358,303,366,1.238841961000162,258,380,0.0071379400001205795
alu-v4_36.qasm,75,160,0.03463687300018137,72,150,0.03158642600010353,72,150,0.04118108400007259,69,140,0.002595236000161094
alu-bdd_288.qasm,78,122,0.034015902000192,51,105,0.04465884800038111,51,105,0.05673115399986273,69,108,0.003803162999702181
4gt5_75.qasm,57,118,0.025441907000185893,54,106,0.0322746769998048,54,106,0.03377536100015277,63,112,0.004164097000284528
alu-v2_32.qasm,123,247,0.054872469999736495,126,229,0.22677887899999405,126,229,0.19524290300023495,123,237,0.004249100999913935
qft_16.qasm,345,244,8.633389872999942,402,253,47.96314393800003,555,324,2.8627469830003065,537,689,0.02073950000021796
decod24-v2_43.qasm,36,73,0.01735136000024795,27,62,0.012370609999834414,27,62,0.012173362999874371,30,64,0.0020160369999757677
cnt3-5_180.qasm,387,542,0.19174698400001944,444,567,18.06892055199978,456,568,1.628651932000139,351,559,0.01118158899998889
sqrt8_260.qasm,2805,4473,2.0915922429999227,2916,4484,48.35256843499974,3114,4638,4.658662155999991,3108,4498,0.1289539619997413
4gt13_92.qasm,45,85,0.024384401999668626,54,96,0.02495170100019095,54,93,0.024601740000434802,57,99,0.002555298000061157
cnt3-5_179.qasm,171,184,0.11435271599975749,168,186,19.608942154999568,183,193,1.2007675650002056,213,238,0.01021367100020143
ex2_227.qasm,516,954,0.30273552599965114,519,890,2.9047530670000015,519,902,0.409965466000358,582,941,0.024886182000045665
rd73_140.qasm,195,286,0.10930172799999127,207,246,11.370256177000101,192,246,0.6674728689999938,207,275,0.009036364999701618
mod5d2_64.qasm,45,86,0.02112682599999971,39,69,0.020599070000116626,39,69,0.022062008999910176,39,76,0.0031688289996054664
wim_266.qasm,825,1371,0.4679540070001167,852,1324,10.651183938000031,882,1349,1.0978404490001594,933,1432,0.042138903999784816
rd53_133.qasm,462,821,0.24168589000009888,489,831,7.530692230000113,525,869,0.8473308420002468,495,800,0.023428729999977804
4gt4-v0_72.qasm,189,361,0.10514214800014088,210,357,1.9578219109998827,216,367,0.34842949799985945,216,339,0.0166571270001441
