,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,110,142,0.04336242889985442,116,149,0.04070939705707133,0.7117,0.6547,0.9199100744695798,104,127,0.029230582993477583,5.1787109375
qft_n15,210,402,292,0.2554845199920237,534,255,51.260821578791365,1.2667,1.2544,0.9902897292176522,438,407,0.11242137802764773,15.0224609375
multiply_n13,40,73,75,0.03342906781472266,91,87,0.7008852970320731,0.5743,0.4691,0.8168204771025597,0,0,0.0,0.0
multiplier_n15,246,522,439,0.25679259304888546,510,432,13.245734989875928,1.5407,1.5218,0.9877328487051341,558,467,0.08058415679261088,10.6240234375
sat_n11,252,528,620,0.2419036829378456,498,612,12.181237895041704,0.667,0.6392,0.9583208395802099,480,579,0.0652991239912808,10.96875
seca_n11,84,141,127,0.07041946100071073,135,110,3.128607604885474,0.6349,0.5966,0.9396755394550322,0,0,0.0,0.0
bv_n14,13,31,30,0.015611037844792008,37,35,0.020565537037327886,0.2938,0.2956,1.0061266167460856,0,0,0.0,0.0
ising_n10,90,90,71,0.23753728601150215,90,71,0.08029509801417589,0.3409,0.3454,1.0132003520093869,0,0,0.0,0.0
qaoa_n6,54,72,125,0.040675488067790866,99,145,0.5723980250768363,0.1449,0.14,0.9661835748792271,0,0,0.0,0.0
qpe_n9,43,82,120,0.07938454789109528,115,133,0.03349946206435561,0.2353,0.1912,0.8125796855078623,0,0,0.0,0.0
