,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,370,314,0.17858092207461596,355,285,3.165056952042505,370,302,2.285700413864106,355,345,0.017201637150719762,7.3662109375
rd53_311.qasm,124,334,308,0.16894833697006106,325,278,1.968822750961408,301,271,0.9090693879406899,331,327,0.03038607188500464,6.6533203125
one-two-three-v0_97.qasm,128,329,385,0.14288213406689465,302,340,0.5766920910682529,311,351,0.2465088670141995,311,324,0.03057397808879614,6.595703125
mod8-10_178.qasm,152,401,426,0.17267602100037038,350,394,0.5368387659545988,359,405,0.26903951494023204,395,463,0.016933457925915718,7.517578125
decod24-enable_126.qasm,149,395,440,0.17414941312745214,359,393,0.5465333787724376,368,417,0.27270398405380547,365,402,0.017266697017475963,7.31640625
mini-alu_167.qasm,126,339,385,0.1479251179844141,291,334,0.6263226710725576,303,333,0.4591959738172591,303,351,0.01575851603411138,6.533203125
rd53_135.qasm,134,347,355,0.15251362416893244,320,347,0.7238913890905678,326,339,0.7426669499836862,0,0,0.0,0.0
ham7_104.qasm,149,380,416,0.16286733816377819,347,375,0.6860311860218644,356,391,0.34588179201819,341,362,0.017934518866240978,7.0732421875
sym6_316.qasm,123,342,325,0.27005161507986486,318,289,2.3822609041817486,312,300,0.4881858571898192,333,317,0.020559364929795265,6.626953125
rd84_142.qasm,154,388,269,0.21929144603200257,385,250,5.908976119942963,418,263,3.4582461370155215,382,282,0.03434469597414136,7.5927734375
