,SABRE CNOTs,MPATH CNOTs,LOOK CNOTs,SABRE Depth,MPATH Depth,LOOK Depth,SABRE Time,MPATH Time,LOOK Time
bigadder_n18,306.0,183.0,0.0,344.0,313.0,0.0,0.11783759900000002,0.934535108,0.0
qft_n20,723.0,870.0,0.0,447.0,510.0,0.0,0.41042641000000035,26.507558583999998,0.0
ising_n26,54.0,93.0,0.0,42.0,52.0,0.0,0.04950920499999967,1.9107940200000044,0.0
bv_n19,87.0,48.0,0.0,68.0,65.0,0.0,0.033673149999998486,0.0473948369999988,0.0
dnn_n16,42.0,36.0,0.0,283.0,195.0,0.0,0.21190472199999988,2.791979056999999,0.0
multiplier_n25,2199.0,1341.0,0.0,2028.0,1507.0,0.0,0.9255187169999957,21.322650826,0.0
wstate_n27,297.0,297.0,0.0,211.0,97.0,0.0,0.10957944099999395,0.3045631189999938,0.0
ghz_state_n23,120.0,72.0,0.0,100.0,90.0,0.0,0.03750303999999005,0.0666290690000011,0.0
cat_state_n22,120.0,81.0,0.0,93.0,89.0,0.0,0.03832990799999436,0.059232758999996804,0.0
square_root_n18,3219.0,1749.0,0.0,3239.0,2436.0,0.0,1.2736082659999965,34.443459520000005,0.0
cc_n18,90.0,60.0,0.0,101.0,87.0,0.0,0.04537287600000184,0.09684194400000479,0.0
