,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,166.0,87.0,232.0,231.0,0.11166057700000032,20.079642534
qft_n20,254.0,186.0,297.0,204.0,0.31426147599999865,633.228154551
ising_n26,27.0,31.0,29.0,27.0,0.06092903600006139,36.759247579999965
bv_n19,69.0,35.0,64.0,59.0,0.05110131100002491,639.706310128
dnn_n16,177.0,169.0,330.0,204.0,0.3800054430000728,358.508045113
multiplier_n25,1216.0,606.0,1429.0,1049.0,1.8526140320000195,3815.973266030999
wstate_n27,9.0,11.0,84.0,83.0,0.01578872699974454,1.8373045279995495
ghz_state_n23,47.0,29.0,49.0,53.0,0.026428662999933294,1.0226767300000574
cat_state_n22,47.0,23.0,47.0,47.0,0.02608100299949001,0.9459608380002464
square_root_n18,1116.0,995.0,2081.0,2082.0,0.7954055029995288,1787.1320777130004
cc_n18,51.0,31.0,86.0,89.0,0.04782825300026161,1.0976828160000878
